Cell_ID,Strain,Phenotype
2638060,DMA3715,V-ATPase complex assembly defect
2638063,DMA3715,V-ATPase complex assembly defect
2638064,DMA3715,V-ATPase complex assembly defect
2638066,DMA3715,V-ATPase complex assembly defect
2638071,DMA3715,V-ATPase complex assembly defect
2638072,DMA3715,V-ATPase complex assembly defect
2638075,DMA3715,V-ATPase complex assembly defect
2638077,DMA3715,V-ATPase complex assembly defect
2638078,DMA3715,V-ATPase complex assembly defect
2638089,DMA3715,V-ATPase complex assembly defect
2638090,DMA3715,V-ATPase complex assembly defect
2638095,DMA3715,V-ATPase complex assembly defect
2638098,DMA3715,V-ATPase complex assembly defect
2638101,DMA3715,V-ATPase complex assembly defect
2640486,DMA3865,negative
2640595,DMA3865,negative
2642165,DMA3865,negative
2642700,DMA3865,negative
2646436,DMA1,negative
2646508,DMA1,negative
2646680,DMA1,multilobed
2651329,DMA1,multilobed
2651361,DMA1,negative
2651442,DMA1,negative
2667389,DMA1,negative
2669016,DMA294,highly fragmented
2669023,DMA294,highly fragmented
2669024,DMA294,highly fragmented
2669032,DMA294,highly fragmented
2669037,DMA294,highly fragmented
2669038,DMA294,highly fragmented
2669048,DMA294,highly fragmented
2669049,DMA294,highly fragmented
2669054,DMA294,highly fragmented
2674281,DMA1,negative
2674427,DMA1,negative
2680904,DMA1,negative
2687876,DMA1,negative
2688168,DMA1,negative
2688236,DMA1,negative
2688353,DMA1,negative
2688385,DMA1,negative
2688516,DMA1,negative
2688608,DMA1,negative
2688801,DMA1,negative
2688922,DMA1,negative
2688933,DMA1,negative
2689249,DMA1,negative
2689894,DMA1,negative
2689972,DMA1,negative
2690206,DMA1,negative
2690715,DMA1,negative
2691429,DMA1,negative
2692914,DMA1,negative
2701931,DMA4182,enlarged
2701933,DMA4182,enlarged
2701935,DMA4182,enlarged
2701946,DMA4182,enlarged
2701947,DMA4182,enlarged
2701961,DMA4182,enlarged
2701964,DMA4182,enlarged
2701971,DMA4182,class E
2701972,DMA4182,enlarged
2701986,DMA4182,enlarged
2701988,DMA4182,enlarged
2701992,DMA4182,class E
2701994,DMA4182,enlarged
2701995,DMA4182,enlarged
2702009,DMA4182,enlarged
2702017,DMA4182,enlarged
2702020,DMA4182,enlarged
2702024,DMA4182,class E
2702029,DMA4182,enlarged
2702031,DMA4182,enlarged
2702036,DMA4182,enlarged
2702038,DMA4182,enlarged
2702039,DMA4182,enlarged
2702045,DMA4182,enlarged
2702052,DMA4182,enlarged
2702054,DMA4182,enlarged
2702059,DMA4182,enlarged
2702062,DMA4182,enlarged
2702068,DMA4182,enlarged
2704863,DMA1,negative
2707850,DMA1,negative
2707856,DMA1,negative
2708778,DMA1,negative
2709021,DMA1,negative
2709467,DMA1,negative
2709595,DMA1,negative
2710114,DMA1,negative
2711054,DMA1,negative
2711800,DMA1,negative
2712077,DMA1,negative
2713029,DMA1,negative
2713150,DMA1,negative
2713375,DMA1,negative
2713914,DMA1,negative
2715075,DMA1,negative
2715306,DMA1,negative
2715461,DMA1,negative
2715585,DMA1,negative
2715811,DMA1,negative
2716185,DMA1,negative
2724885,DMA1,negative
2725028,DMA1,negative
2725035,DMA1,negative
2732769,DMA3865,negative
2739618,TSA60,sec
2739620,TSA60,sec
2739622,TSA60,sec
2739628,TSA60,sec
2739635,TSA60,sec
2739637,TSA60,sec
2739638,TSA60,sec
2739639,TSA60,sec
2739643,TSA60,sec
2739654,TSA60,sec
2739661,TSA60,sec
2739663,TSA60,sec
2739669,TSA60,sec
2739670,TSA60,sec
2739671,TSA60,sec
2739675,TSA60,sec
2739679,TSA60,sec
2739681,TSA60,sec
2739682,TSA60,sec
2739683,TSA60,sec
2739686,TSA60,sec
2739690,TSA60,sec
2739692,TSA60,sec
2739697,TSA60,sec
2739698,TSA60,sec
2739700,TSA60,sec
2739708,TSA60,sec
2739709,TSA60,sec
2739712,TSA60,sec
2739713,TSA60,sec
2739715,TSA60,sec
2739721,TSA60,sec
2739723,TSA60,class E
2739725,TSA60,sec
2739727,TSA60,sec
2739732,TSA60,sec
2739735,TSA60,sec
2739742,TSA60,sec
2739743,TSA60,sec
2739745,TSA60,sec
2739748,TSA60,sec
2739756,TSA60,sec
2739761,TSA60,sec
2739762,TSA60,sec
2739765,TSA60,highly fragmented
2739771,TSA60,sec
2739772,TSA60,sec
2739780,TSA60,sec
2739782,TSA60,sec
2739783,TSA60,sec
2739785,TSA60,sec
2739787,TSA60,sec
2739788,TSA60,sec
2739790,TSA60,sec
2739794,TSA60,sec
2739795,TSA60,sec
2739796,TSA60,sec
2739798,TSA60,sec
2739799,TSA60,sec
2739800,TSA60,sec
2739802,TSA60,sec
2739803,TSA60,sec
2739804,TSA60,sec
2739805,TSA60,sec
2739806,TSA60,sec
2739813,TSA60,sec
2739815,TSA60,sec
2739816,TSA60,sec
2739818,TSA60,sec
2739820,TSA60,sec
2739825,TSA60,sec
2739826,TSA60,sec
2739827,TSA60,sec
2739829,TSA60,sec
2739830,TSA60,sec
2739832,TSA60,sec
2739834,TSA60,sec
2739839,TSA60,sec
2739841,TSA60,sec
2739843,TSA60,sec
2739846,TSA60,sec
2739847,TSA60,sec
2739848,TSA60,sec
2739850,TSA60,sec
2739852,TSA60,sec
2739856,TSA60,sec
2739857,TSA60,sec
2739858,TSA60,sec
2739860,TSA60,sec
2739862,TSA60,sec
2739863,TSA60,sec
2739868,TSA60,sec
2739872,TSA60,sec
2739873,TSA60,sec
2739875,TSA60,sec
2739877,TSA60,sec
2739881,TSA60,sec
2739884,TSA60,sec
2739888,TSA60,sec
2739889,TSA60,sec
2739891,TSA60,sec
2739892,TSA60,sec
2739895,TSA60,sec
2739896,TSA60,sec
2739897,TSA60,sec
2739901,TSA60,sec
2744454,TSA216,multilobed
2744477,TSA216,multilobed
2744492,TSA216,multilobed
2751818,DMA3865,negative
2758684,DMA1,negative
2758697,DMA1,negative
2764249,DMA1,negative
2765073,DMA3865,negative
2767362,DMA3865,negative
2770392,DMA3865,negative
2772682,TSA675,multilobed
2772686,TSA675,multilobed
2772688,TSA675,multilobed
2772711,TSA675,multilobed
2772723,TSA675,multilobed
2772731,TSA675,multilobed
2772735,TSA675,multilobed
2772740,TSA675,multilobed
2772745,TSA675,multilobed
2781992,TSA1214,sec
2781993,TSA1214,sec
2781996,TSA1214,sec
2781998,TSA1214,sec
2781999,TSA1214,sec
2782003,TSA1214,sec
2782006,TSA1214,sec
2782010,TSA1214,sec
2782011,TSA1214,sec
2782012,TSA1214,sec
2782016,TSA1214,sec
2782027,TSA1214,sec
2782032,TSA1214,sec
2782036,TSA1214,sec
2782038,TSA1214,sec
2782041,TSA1214,sec
2782042,TSA1214,sec
2782663,TSA1090,sec
2782664,TSA1090,sec
2782665,TSA1090,sec
2782666,TSA1090,sec
2782669,TSA1090,sec
2782674,TSA1090,sec
2782675,TSA1090,sec
2782676,TSA1090,sec
2782677,TSA1090,sec
2782678,TSA1090,sec
2782679,TSA1090,sec
2782684,TSA1090,sec
2782697,TSA1090,sec
2782702,TSA1090,sec
2782703,TSA1090,sec
2782704,TSA1090,sec
2782705,TSA1090,sec
2782708,TSA1090,sec
2782709,TSA1090,sec
2782715,TSA1090,sec
2782718,TSA1090,sec
2782719,TSA1090,sec
2782722,TSA1090,sec
2782724,TSA1090,sec
2782725,TSA1090,sec
2782736,TSA1090,sec
2782737,TSA1090,sec
2783816,DMA1,negative
2784717,DMA1,negative
2785016,DMA1,negative
2785734,DMA1,negative
2786071,DMA1,negative
2786197,DMA1,negative
2786240,DMA1,negative
2786471,DMA1,negative
2786687,DMA1,negative
2787326,DMA1,negative
2787709,DMA1,negative
2787864,DMA1,negative
2789219,DMA1,negative
2789394,DMA1,negative
2789496,DMA1,negative
2796304,DMA1674,highly fragmented
2796305,DMA1674,highly fragmented
2796306,DMA1674,highly fragmented
2796308,DMA1674,highly fragmented
2796309,DMA1674,highly fragmented
2796314,DMA1674,highly fragmented
2796316,DMA1674,highly fragmented
2796318,DMA1674,highly fragmented
2796319,DMA1674,highly fragmented
2796322,DMA1674,highly fragmented
2796324,DMA1674,highly fragmented
2796325,DMA1674,highly fragmented
2796326,DMA1674,highly fragmented
2796329,DMA1674,highly fragmented
2796336,DMA1674,highly fragmented
2796337,DMA1674,highly fragmented
2796344,DMA1674,highly fragmented
2796346,DMA1674,highly fragmented
2796352,DMA1674,highly fragmented
2796355,DMA1674,highly fragmented
2796356,DMA1674,highly fragmented
2796358,DMA1674,highly fragmented
2796359,DMA1674,highly fragmented
2796366,DMA1674,highly fragmented
2796368,DMA1674,highly fragmented
2796369,DMA1674,highly fragmented
2796381,DMA1674,highly fragmented
2796382,DMA1674,highly fragmented
2796384,DMA1674,highly fragmented
2796388,DMA1674,highly fragmented
2796395,DMA1674,highly fragmented
2796396,DMA1674,highly fragmented
2796403,DMA1674,highly fragmented
2796404,DMA1674,highly fragmented
2796406,DMA1674,highly fragmented
2796411,DMA1674,highly fragmented
2796412,DMA1674,highly fragmented
2799478,DMA1,negative
2804403,DMA1,negative
2809816,DMA1,negative
2815789,DMA1,negative
2815960,DMA1,negative
2816188,DMA1,negative
2821141,DMA1,negative
2821289,DMA1,negative
2849014,DMA1,negative
2858731,DMA3865,negative
2861064,TSA304,multilobed
2861066,TSA304,multilobed
2861069,TSA304,multilobed
2861081,TSA304,multilobed
2861082,TSA304,multilobed
2861084,TSA304,multilobed
2861090,TSA304,multilobed
2861096,TSA304,multilobed
2861101,TSA304,multilobed
2861106,TSA304,enlarged
2861111,TSA304,multilobed
2861114,TSA304,multilobed
2861116,TSA304,multilobed
2861122,TSA304,enlarged
2861131,TSA304,multilobed
2861132,TSA304,multilobed
2863726,DMA1,negative
2863942,DMA1,negative
2872980,DMA1,negative
2875626,DMA1,negative
2881901,DMA1,negative
2882368,DMA1,negative
2890017,DMA1,negative
2890975,DMA3865,negative
2899964,TSA220,multilobed
2899966,TSA220,multilobed
2900009,TSA220,multilobed
2900248,DMA3198,multilobed
2900270,DMA3198,multilobed
2900274,DMA3198,multilobed
2900309,DMA3198,multilobed
2900320,DMA3198,multilobed
2900324,DMA3198,multilobed
2900348,DMA3198,multilobed
2900356,DMA3198,multilobed
2904021,DMA1,negative
2904150,DMA1,negative
2909624,DMA-SLOW46,class E
2909629,DMA-SLOW46,class E
2909630,DMA-SLOW46,class E
2909638,DMA-SLOW46,class E
2909642,DMA-SLOW46,class E
2909654,DMA-SLOW46,class E
2909662,DMA-SLOW46,class E
2909681,DMA-SLOW46,class E
2909682,DMA-SLOW46,multilobed
2909696,DMA-SLOW46,class E
2909703,DMA-SLOW46,class E
2910415,DMA-SLOW405,V-ATPase complex assembly defect
2910417,DMA-SLOW405,V-ATPase complex assembly defect
2910418,DMA-SLOW405,V-ATPase complex assembly defect
2910420,DMA-SLOW405,V-ATPase complex assembly defect
2910422,DMA-SLOW405,V-ATPase complex assembly defect
2910423,DMA-SLOW405,V-ATPase complex assembly defect
2910424,DMA-SLOW405,V-ATPase complex assembly defect
2910425,DMA-SLOW405,V-ATPase complex assembly defect
2910426,DMA-SLOW405,V-ATPase complex assembly defect
2910427,DMA-SLOW405,V-ATPase complex assembly defect
2910428,DMA-SLOW405,V-ATPase complex assembly defect
2910429,DMA-SLOW405,V-ATPase complex assembly defect
2910431,DMA-SLOW405,V-ATPase complex assembly defect
2910432,DMA-SLOW405,V-ATPase complex assembly defect
2910433,DMA-SLOW405,V-ATPase complex assembly defect
2910434,DMA-SLOW405,V-ATPase complex assembly defect
2910436,DMA-SLOW405,V-ATPase complex assembly defect
2910438,DMA-SLOW405,V-ATPase complex assembly defect
2910439,DMA-SLOW405,V-ATPase complex assembly defect
2910441,DMA-SLOW405,V-ATPase complex assembly defect
2910444,DMA-SLOW405,V-ATPase complex assembly defect
2910445,DMA-SLOW405,V-ATPase complex assembly defect
2910446,DMA-SLOW405,V-ATPase complex assembly defect
2912328,DMA-SLOW230,class E
2915295,DMA1,negative
2925736,DMA3304,highly fragmented
2925737,DMA3304,highly fragmented
2925771,DMA3304,multilobed
2925867,DMA3304,highly fragmented
2929329,DMA1,negative
2931380,DMA5159,multilobed
2931421,DMA5159,multilobed
2931803,DMA1,negative
2932098,DMA1,negative
2934511,DMA1,negative
2943208,DMA1,negative
2948623,DMA1,negative
2949762,DMA1,negative
2950042,DMA1,negative
2950455,DMA1,multilobed
2950956,DMA1,negative
2951830,DMA1,negative
2951961,DMA1,negative
2952068,DMA1,negative
2952682,DMA1,negative
2952996,DMA1,negative
2953333,DMA1,negative
2953749,DMA1,negative
2953875,DMA1,negative
2958849,DMA1,negative
2959135,DMA1,negative
2965637,DMA1,negative
2988948,DMA1,negative
2989613,DMA1,negative
2989646,DMA-SLOW395,class E
2989651,DMA-SLOW395,multilobed
2989670,DMA-SLOW395,class E
2989679,DMA-SLOW395,class E
2989680,DMA-SLOW395,class E
2991486,DMA1,negative
2991587,DMA1,negative
2994202,DMA1,negative
3000626,DMA1,negative
3000736,DMA1,negative
3000875,DMA1,negative
3012990,TSA137,multilobed
3012995,TSA137,multilobed
3013007,TSA137,multilobed
3013014,TSA137,multilobed
3022234,DMA3865,negative
3023408,DMA3865,negative
3023966,DMA3865,negative
3027134,TSA852,sec
3027135,TSA852,sec
3027138,TSA852,sec
3027139,TSA852,sec
3027140,TSA852,sec
3027143,TSA852,sec
3027145,TSA852,sec
3027149,TSA852,sec
3027152,TSA852,sec
3027153,TSA852,sec
3027154,TSA852,sec
3027158,TSA852,sec
3027161,TSA852,sec
3027164,TSA852,sec
3027169,TSA852,sec
3027171,TSA852,sec
3027172,TSA852,sec
3027178,TSA852,sec
3027180,TSA852,sec
3027181,TSA852,sec
3027182,TSA852,sec
3027185,TSA852,sec
3027195,TSA852,sec
3027196,TSA852,sec
3027197,TSA852,sec
3027198,TSA852,sec
3027206,TSA852,sec
3027208,TSA852,sec
3027210,TSA852,sec
3027213,TSA852,sec
3027215,TSA852,sec
3027217,TSA852,sec
3027219,TSA852,sec
3027220,TSA852,sec
3027221,TSA852,sec
3027222,TSA852,sec
3027223,TSA852,sec
3027224,TSA852,sec
3027226,TSA852,sec
3027230,TSA852,sec
3027232,TSA852,sec
3027236,TSA852,sec
3027243,TSA852,sec
3027244,TSA852,sec
3027246,TSA852,sec
3027251,TSA852,sec
3027256,TSA852,sec
3027257,TSA852,sec
3027258,TSA852,sec
3027261,TSA852,sec
3027263,TSA852,sec
3027266,TSA852,sec
3027268,TSA852,sec
3027269,TSA852,sec
3027271,TSA852,sec
3027273,TSA852,sec
3027397,TSA201,multilobed
3027404,TSA201,multilobed
3034759,DMA883,highly fragmented
3034760,DMA883,highly fragmented
3034762,DMA883,highly fragmented
3034766,DMA883,highly fragmented
3034774,DMA883,highly fragmented
3034777,DMA883,highly fragmented
3034779,DMA883,highly fragmented
3034784,DMA883,highly fragmented
3034787,DMA883,highly fragmented
3034789,DMA883,highly fragmented
3034790,DMA883,highly fragmented
3034791,DMA883,highly fragmented
3034794,DMA883,highly fragmented
3034798,DMA883,highly fragmented
3034800,DMA883,highly fragmented
3034801,DMA883,highly fragmented
3034804,DMA883,highly fragmented
3034806,DMA883,highly fragmented
3034809,DMA883,highly fragmented
3034813,DMA883,highly fragmented
